#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P31809	uniprotkb:P11224	intact:EBI-8663470|uniprotkb:Q61353|intact:MINT-4590618|dip:DIP-61461N|uniprotkb:Q61350	intact:EBI-16196052|uniprotkb:O39227	psi-mi:ceam1_mouse(display_long)|uniprotkb:Ceacam1(gene name)|psi-mi:Ceacam1(display_short)|uniprotkb:Bgp(gene name synonym)|uniprotkb:Bgp1(gene name synonym)|uniprotkb:Biliary glycoprotein 1(gene name synonym)|uniprotkb:Murine hepatitis virus receptor(gene name synonym)|uniprotkb:MHVR1(gene name synonym)|uniprotkb:Biliary glycoprotein D(gene name synonym)	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:1247"(microscale thermophoresis)	Walls et al. (2016)	pubmed:26855426|doi:10.1038/nature16988|imex:IM-25366	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16196079|imex:IM-25366-1|dip:DIP-200979E	intact-miscore:0.44
uniprotkb:P0DTD2	uniprotkb:Q9P0L2	intact:EBI-25475909	intact:EBI-968587|uniprotkb:Q2HIY1|uniprotkb:Q5VTF9|uniprotkb:Q5VTG0|uniprotkb:Q96SW9|uniprotkb:Q9P251|uniprotkb:D3DTB0|uniprotkb:D3DTB1	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:mark1_human(display_long)|uniprotkb:MARK1(gene name)|psi-mi:MARK1(display_short)|uniprotkb:KIAA1477(gene name synonym)|uniprotkb:MARK(gene name synonym)|uniprotkb:MAP/microtubule affinity-regulating kinase 1(gene name synonym)|uniprotkb:PAR1 homolog c(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:Q9H773	intact:EBI-25475909	intact:EBI-723569|intact:EBI-1384169	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:dctp1_human(display_long)|uniprotkb:DCTPP1(gene name)|psi-mi:DCTPP1(display_short)|uniprotkb:RS21C6(gene name synonym)|uniprotkb:CDA03(orf name)|uniprotkb:XTP3TPA(gene name synonym)|uniprotkb:Deoxycytidine-triphosphatase 1(gene name synonym)|uniprotkb:XTP3-transactivated gene A protein(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:Q9H2P9	intact:EBI-25475909	intact:EBI-21351611|uniprotkb:A8JZY6|uniprotkb:D3DT62|uniprotkb:Q9P017|uniprotkb:Q9P0I4|uniprotkb:Q9Y319	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:dph5_human(display_long)|uniprotkb:DPH5(gene name)|psi-mi:DPH5(display_short)|uniprotkb:Diphthamide biosynthesis methyltransferase(gene name synonym)|uniprotkb:AD-018(orf name)|uniprotkb:CGI-30(orf name)|uniprotkb:HSPC143(orf name)|uniprotkb:NPD015(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:Q7KZI7	intact:EBI-25475909	intact:EBI-516560|uniprotkb:Q15449|uniprotkb:Q15524|uniprotkb:Q5XGA3|uniprotkb:Q68A18|uniprotkb:Q96HB3|uniprotkb:Q96RG0	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:mark2_human(display_long)|uniprotkb:MAP/microtubule affinity-regulating kinase 2(gene name synonym)|uniprotkb:ELKL motif kinase 1(gene name synonym)|uniprotkb:PAR1 homolog(gene name synonym)|uniprotkb:MARK2(gene name)|psi-mi:MARK2(display_short)|uniprotkb:EMK1(gene name synonym)|uniprotkb:PAR1 homolog b(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:P27448	intact:EBI-25475909	intact:EBI-707595|uniprotkb:O60219|uniprotkb:Q8TB41|uniprotkb:Q8WX83|uniprotkb:Q96RG1|uniprotkb:Q9UMY9|uniprotkb:Q9UN34|uniprotkb:A0A0A0MQR8|uniprotkb:A0A0A0MST9|uniprotkb:A0A0A0MT23|uniprotkb:Q86TT8	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:mark3_human(display_long)|uniprotkb:Cdc25C-associated protein kinase 1(gene name synonym)|uniprotkb:C-TAK1(gene name synonym)|uniprotkb:Serine/threonine-protein kinase p78(gene name synonym)|uniprotkb:Ser/Thr protein kinase PAR-1(gene name synonym)|uniprotkb:Protein kinase STK10(gene name synonym)|uniprotkb:MARK3(gene name)|psi-mi:MARK3(display_short)|uniprotkb:CTAK1(gene name synonym)|uniprotkb:EMK2(gene name synonym)|uniprotkb:ELKL motif kinase 2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:O94826	intact:EBI-25475909	intact:EBI-2800236|uniprotkb:D3DN48	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:tom70_human(display_long)|uniprotkb:TOMM70(gene name)|psi-mi:TOMM70(display_short)|uniprotkb:KIAA0719(gene name synonym)|uniprotkb:TOM70(gene name synonym)|uniprotkb:TOMM70A(gene name synonym)|uniprotkb:Translocase of outer membrane 70 kDa subunit(gene name synonym)|uniprotkb:Translocase of outer mitochondrial membrane protein 70(gene name synonym)|uniprotkb:Mitochondrial precursor proteins import receptor(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.53
uniprotkb:P0DTD2	uniprotkb:O75534	intact:EBI-25475909	intact:EBI-719186|uniprotkb:G5E9Q2|uniprotkb:O94961|uniprotkb:Q5TF04|uniprotkb:Q5TF05|uniprotkb:Q68DI9|uniprotkb:Q9Y2S4|uniprotkb:E9PGZ0|uniprotkb:Q68DF1|intact:EBI-1059183|uniprotkb:A8K281	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:csde1_human(display_long)|uniprotkb:Protein UNR(gene name synonym)|uniprotkb:N-ras upstream gene protein(gene name synonym)|uniprotkb:CSDE1(gene name)|psi-mi:CSDE1(display_short)|uniprotkb:D1S155E(gene name synonym)|uniprotkb:KIAA0885(gene name synonym)|uniprotkb:NRU(gene name synonym)|uniprotkb:UNR(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:O43633	intact:EBI-25475909	intact:EBI-2692789|uniprotkb:B2R4W6|uniprotkb:Q3ZTT0	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:chm2a_human(display_long)|uniprotkb:BC2(gene name synonym)|uniprotkb:CHMP2(gene name synonym)|uniprotkb:Chromatin-modifying protein 2a(gene name synonym)|uniprotkb:Putative breast adenocarcinoma marker BC-2(gene name synonym)|uniprotkb:Vacuolar protein sorting-associated protein 2-1(gene name synonym)|uniprotkb:CHMP2A(gene name)|psi-mi:CHMP2A(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD2	uniprotkb:O14745	intact:EBI-25475909	intact:EBI-349787|uniprotkb:B3KY21|uniprotkb:O43552|uniprotkb:Q86WQ5|intact:EBI-15579389	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:nhrf1_human(display_long)|uniprotkb:SLC9A3R1(gene name)|psi-mi:SLC9A3R1(display_short)|uniprotkb:NHERF(gene name synonym)|uniprotkb:NHERF1(gene name synonym)|uniprotkb:Ezrin-radixin-moesin-binding phosphoprotein 50(gene name synonym)|uniprotkb:"Regulatory cofactor of Na(+)/H(+) exchanger"(gene name synonym)|uniprotkb:Sodium-hydrogen exchanger regulatory factor 1(gene name synonym)|uniprotkb:Solute carrier family 9 isoform A3 regulatory factor 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491493|imex:IM-27814-39	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9Y3A6	intact:EBI-25475917	intact:EBI-7560959|intact:MINT-3085589|uniprotkb:B2R703|uniprotkb:D3DT38|uniprotkb:Q96AX8|uniprotkb:B1AKT4	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:tmed5_human(display_long)|uniprotkb:TMED5(gene name)|psi-mi:TMED5(display_short)|uniprotkb:p24 family protein gamma-2(gene name synonym)|uniprotkb:p28(gene name synonym)|uniprotkb:CGI-100(orf name)|uniprotkb:UNQ397/PRO733(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q2PZI1	intact:EBI-25475917	intact:EBI-6164516|uniprotkb:O94954|uniprotkb:Q4G151	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:d19l1_human(display_long)|uniprotkb:Protein dpy-19 homolog 1(gene name synonym)|uniprotkb:DPY19L1(gene name)|psi-mi:DPY19L1(display_short)|uniprotkb:Dpy-19-like protein 1(gene name synonym)|uniprotkb:GA0500(gene name synonym)|uniprotkb:KIAA0877(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q96S52	intact:EBI-25475917	intact:EBI-2908273|uniprotkb:Q6UVX6	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:pigs_human(display_long)|uniprotkb:PIGS(gene name)|psi-mi:PIGS(display_short)|uniprotkb:Phosphatidylinositol-glycan biosynthesis class S protein(gene name synonym)|uniprotkb:UNQ1873/PRO4316(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9Y6M9	intact:EBI-25475917	intact:EBI-713654|uniprotkb:Q9UQE8|uniprotkb:B2R8M6	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:ndub9_human(display_long)|uniprotkb:LYRM3(gene name synonym)|uniprotkb:NADH-ubiquinone oxidoreductase B22 subunit(gene name synonym)|uniprotkb:Complex I-B22(gene name synonym)|uniprotkb:LYR motif-containing protein 3(gene name synonym)|uniprotkb:NDUFB9(gene name)|psi-mi:NDUFB9(display_short)|uniprotkb:UQOR22(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9Y375	intact:EBI-25475917	intact:EBI-741874|uniprotkb:Q9BVZ5	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:cia30_human(display_long)|uniprotkb:NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1(gene name synonym)|uniprotkb:NDUFAF1(gene name)|psi-mi:NDUFAF1(display_short)|uniprotkb:CIA30(gene name synonym)|uniprotkb:CGI-65(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9Y276	intact:EBI-25475917	intact:EBI-719257|uniprotkb:B3KTW9|uniprotkb:Q7Z2V7	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:bcs1_human(display_long)|uniprotkb:BCS1-like protein(gene name synonym)|uniprotkb:BCS1L(gene name)|psi-mi:BCS1L(display_short)|uniprotkb:BCS1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9NV92	intact:EBI-25475917	intact:EBI-2933200|uniprotkb:Q7Z2H3|uniprotkb:Q7Z428|uniprotkb:Q8TAR3|uniprotkb:Q9ULQ5	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:nfip2_human(display_long)|uniprotkb:NDFIP2(gene name)|psi-mi:NDFIP2(display_short)|uniprotkb:KIAA1165(gene name synonym)|uniprotkb:N4WBP5A(gene name synonym)|uniprotkb:NEDD4 WW domain-binding protein 5A(gene name synonym)|uniprotkb:Putative MAPK-activating protein PM04/PM05/PM06/PM07(gene name synonym)|uniprotkb:Putative NF-kappa-B-activating protein 413(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9H845	intact:EBI-25475917	intact:EBI-2510719|uniprotkb:Q8WXX3|uniprotkb:D3DNB8	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:acad9_human(display_long)|uniprotkb:ACAD9(gene name)|psi-mi:ACAD9(display_short)|uniprotkb:Acyl-CoA dehydrogenase family member 9(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9H3K2	intact:EBI-25475917	intact:EBI-2868909|uniprotkb:A8K9Z9|uniprotkb:Q5VT95|uniprotkb:O95894|uniprotkb:Q9H0P2|uniprotkb:D3DWE0	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:ghitm_human(display_long)|uniprotkb:GHITM(gene name)|psi-mi:GHITM(display_short)|uniprotkb:DERP2(gene name synonym)|uniprotkb:MICS1(gene name synonym)|uniprotkb:TMBIM5(gene name synonym)|uniprotkb:Dermal papilla-derived protein 2(gene name synonym)|uniprotkb:Mitochondrial morphology and cristae structure 1(gene name synonym)|uniprotkb:Transmembrane BAX inhibitor motif-containing protein 5(gene name synonym)|uniprotkb:My021(orf name)|uniprotkb:UNQ244/PRO281(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9GZU3	intact:EBI-25475917	intact:EBI-726099|uniprotkb:Q6IA44|uniprotkb:B4DKN8|uniprotkb:B4DQE6|uniprotkb:B4DTN8|uniprotkb:D3DPP4	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:tm39b_human(display_long)|uniprotkb:TMEM39B(gene name)|psi-mi:TMEM39B(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9BVK2	intact:EBI-25475917	intact:EBI-3921603|intact:EBI-11062071|uniprotkb:O60860|uniprotkb:A6NDW6	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:alg8_human(display_long)|uniprotkb:ALG8(gene name)|psi-mi:ALG8(display_short)|uniprotkb:"Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase"(gene name synonym)|uniprotkb:Asparagine-linked glycosylation protein 8 homolog(gene name synonym)|uniprotkb:"Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase"(gene name synonym)|uniprotkb:HUSSY-02(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q9BQ95	intact:EBI-25475917	intact:EBI-712452|uniprotkb:K7EMM0|uniprotkb:Q9NYI1|uniprotkb:Q96HQ7|uniprotkb:E9PAN9	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:ecsit_human(display_long)|uniprotkb:Protein SITPEC(gene name synonym)|uniprotkb:ECSIT(gene name)|psi-mi:ECSIT(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q96K12	intact:EBI-25475917	intact:EBI-4280043|uniprotkb:F8VV73|uniprotkb:Q9H0D5|uniprotkb:Q9NVW8	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:facr2_human(display_long)|uniprotkb:FAR2(gene name)|psi-mi:FAR2(display_short)|uniprotkb:MLSTD1(gene name synonym)|uniprotkb:Male sterility domain-containing protein 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q8TEQ8	intact:EBI-25475917	intact:EBI-11722765|uniprotkb:B1AML3|uniprotkb:Q6P154|uniprotkb:Q6UX80|uniprotkb:Q8TDS8|uniprotkb:Q96CS9|uniprotkb:Q9BVN9|uniprotkb:Q9Y4B0	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:pigo_human(display_long)|uniprotkb:PIGO(gene name)|psi-mi:PIGO(display_short)|uniprotkb:Phosphatidylinositol-glycan biosynthesis class O protein(gene name synonym)|uniprotkb:UNQ632/PRO1249(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q86VR2	intact:EBI-25475917	intact:EBI-10192441|uniprotkb:B3KR75	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:retr3_human(display_long)|uniprotkb:RETREG3(gene name)|psi-mi:RETREG3(display_short)|uniprotkb:FAM134C(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q86UT6	intact:EBI-25475917	intact:EBI-3893071|uniprotkb:A8K6Q1|uniprotkb:B3KPK2|uniprotkb:B3KTA2|uniprotkb:Q7RTR3|uniprotkb:Q96D51|uniprotkb:Q9H724	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:nlrx1_human(display_long)|uniprotkb:NLRX1(gene name)|psi-mi:NLRX1(display_short)|uniprotkb:NOD26(gene name synonym)|uniprotkb:NOD5(gene name synonym)|uniprotkb:NOD9(gene name synonym)|uniprotkb:Caterpiller protein 11.3(gene name synonym)|uniprotkb:Nucleotide-binding oligomerization domain protein 26(gene name synonym)|uniprotkb:Nucleotide-binding oligomerization domain protein 5(gene name synonym)|uniprotkb:Nucleotide-binding oligomerization domain protein 9(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
uniprotkb:P0DTD3	uniprotkb:Q7Z2K6	intact:EBI-25475917	intact:EBI-10976398|uniprotkb:B3KSB1|uniprotkb:B2RNA4|uniprotkb:Q9H5M1|uniprotkb:Q8N5T5	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)	psi-mi:ermp1_human(display_long)|uniprotkb:ERMP1(gene name)|psi-mi:ERMP1(display_short)|uniprotkb:FXNA(gene name synonym)|uniprotkb:Felix-ina(gene name synonym)|uniprotkb:KIAA1815(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:32353859|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491532|imex:IM-27814-53	intact-miscore:0.35
